MGI Allele ID	Allele Symbol	Allele Name	Chromosome	Synonyms	Allele Type	Allele Attributes	Transmission	Abnormal Phenotypes Reported in these Systems	Human Disease Models	
MGI:4329381	Lmo4<Gt(RRO142)Byg>	gene trap RRO142, BayGenomics	3	Lmo4Gt<129> | Lmo4<Gt(pGt2Lxf)1Heb> | Lmo4<Gt(RR0142)Byg> | LmoGt	Gene trapped	Null/knockout, Reporter	Germline	behavior		
MGI:3767840	Nacc1<tm1Jabl>	targeted mutation 1, J A Blendy	8	Nac1<->	Targeted	Null/knockout, Reporter	Germline	behavior | homeostasis		
MGI:1933974	Ntrk2<tm2Kln>	targeted mutation 2, Rudiger Klein	13	trkB<lox> | Trkb<lx>	Targeted	Conditional ready, No functional change	Germline	adipose | behavior | cellular | endocrine/exocrine | growth/size/body | homeostasis | liver/biliary | mortality/aging | nervous system		
MGI:5636741	Oprk1<tm1.1Waca>	targeted mutation 1.1, William A Carlezon Jr	1	KOR<lox>	Targeted	Conditional ready	Germline	behavior		
MGI:2388673	Oprm1<tm1Loh>	targeted mutation 1, Horace H Loh	10	MOP-KO | MORKO	Targeted	Null/knockout	Germline	behavior | homeostasis | integument | mortality/aging | nervous system		
MGI:1934020	Per2<tm1Brd>	targeted mutation 1, Allan Bradley	1	mPer2<Brdm1> | mPer2<m> | Per2<Brdm1>	Targeted	Null/knockout	Germline	behavior | cellular | digestive/alimentary | endocrine/exocrine | growth/size/body | homeostasis | integument | mortality/aging | neoplasm | renal/urinary | reproductive | skeleton		
MGI:2183150	Ppp1r1b<tm1Aaf>	targeted mutation 1, A A Feinberg	11	DARPP32<-> | DARPP-32 KO	Targeted	Null/knockout	Germline	behavior | homeostasis		
MGI:4830458	Ppp1r1b<tm5.1Pggd>	targeted mutation 5.1, Paul Greengard	11	D32<fl>	Targeted	Conditional ready, No functional change	Germline			
MGI:4397456	Ppp1r9a<tm1Pggd>	targeted mutation 1, Paul Greengard	6	neurabin<-> | Nrb<->	Targeted	Null/knockout	Germline	behavior | nervous system		
MGI:2389199	Ppp1r9b<tm1Jfe>	targeted mutation 1, Jian Feng	11	neurabin II<-> | Sp- | spinophilin- | spinophilin 1 | Spl- | Spn-	Targeted	Null/knockout	Germline	behavior | cellular | growth/size/body | homeostasis | nervous system		
MGI:2386278	Slc6a2<tm1Mca>	targeted mutation 1, Marc G Caron	8	NET<-> | NET KO	Targeted	Null/knockout, Reporter	Germline	behavior | growth/size/body | homeostasis | integument | nervous system		
MGI:3689434	Slc6a3<tm1.1(cre)Bkmn>	targeted mutation 1.1, Cristina M Backman	13	DATCre | (DAT)::Cre | Dat<IREScre> | Dat<IRES>Cre | DAT-IRES-Cre	Targeted	Recombinase	Germline			
MGI:3794893	Slc17a8<tm1Selm>	targeted mutation 1, Salah El Mestikawy	10	Vglut3<->	Targeted	Null/knockout	Germline	behavior | hearing/vestibular/ear | nervous system	autosomal dominant nonsyndromic deafness 25 DOID:0110555	
MGI:2181424	Tg(Drd1a-cre)1Gsc	transgene insertion 1, Gunther Schutz	UN	D1cre	Transgenic	Recombinase	 			
MGI:3761818	Tg(Drd1a-cre)AGsc	transgene insertion A, Gunther Schutz	UN	D1Cre | dr-1 Cre | Tg(Drd1a-cre)2Gsc	Transgenic	Recombinase	 			
MGI:3836635	Tg(Drd2-cre)ER44Gsat	transgene insertion ER44, GENSAT Project at Rockefeller University	UN	D2R Cre | Drd2-Cre | ER44 | Tg(Drd2-cre)44Gsat	Transgenic	Recombinase	 			
MGI:3843608	Tg(Drd2-EGFP)S118Gsat	transgene insertion S118, GENSAT Project at Rockefeller University	UN	BAC D2 EGFP | D2GFP | Drd2-EGFP | Founder Line S118 | Tg(Drd2-EGFP)118Gsat	Transgenic	Reporter	 			
MGI:5532538	Tg(Penk-cre,-lacZ)1Mini	transgene insertion 1, Liliana Minichiello	UN	BAC-Penk-Cre<tg>	Transgenic	Recombinase	 			
MGI:5554407	Tg(Slc6a3-icre)9075Gsc	transgene insertion 9075, Gunther Schutz	UN	DATCre | Tg(DAT-iCre)9075Gsc	Transgenic	Recombinase	 			
